Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.47     75.69     0.48                             bool std::operator< <unsigned int&, unsigned int&, float&, float&, float&, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.45     76.16     0.46                             Tempest::GraphicObject<Material>::x() const
  0.44     76.61     0.45                             Tempest::GraphicObject<Material>::render(Tempest::Render&) const
  0.44     77.06     0.45                             Tempest::GraphicObject<Material>::ModelPtr<WaterVertex>::bounds() const
  0.44     77.50     0.45                             std::__add_c_ref<unsigned int&>::type std::__get_helper<0u, unsigned int&, unsigned int&, float&, float&, float&>(std::_Tuple_impl<0u, unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.43     77.94     0.44                             array2d<int>::operator[](int) const
  0.42     78.38     0.43                             Tempest::GraphicObject<Material>::y() const
  0.42     78.81     0.43                             std::_Head_base<0u, unsigned int&, false>::_M_head(std::_Head_base<0u, unsigned int&, false> const&)
  0.40     79.22     0.41                             Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::delRef(Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*)
  0.39     79.61     0.40                             Tempest::Model<MVertex>::size() const
  0.39     80.02     0.40                             Terrain::heightAt(int, int) const
  0.37     80.39     0.38                             Terrain::buildGeometry(Tempest::VertexBufferHolder&, Tempest::IndexBufferHolder&, int, unsigned int, int, int)
  0.36     80.77     0.37                             std::_Tuple_impl<0u, unsigned int&, unsigned int&, float&, float&, float&>::_M_head(std::_Tuple_impl<0u, unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.35     81.13     0.36                             Tempest::IndexBuffer<unsigned short>::size() const
  0.33     81.47     0.34                             std::vector<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed, std::allocator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed> >::size() const
  0.31     81.78     0.32                             Material::animateObjMatrix(Tempest::Matrix4x4 const&, float)
  0.31     82.11     0.32                             Tempest::Half::operator float() const
  0.29     82.41     0.30                             Tempest::GraphicObject<Material>::z() const
  0.28     82.69     0.29                             std::vector<Tempest::Point, std::allocator<Tempest::Point> >::operator[](unsigned int)
  0.28     82.98     0.29                             memcmp
  0.27     83.27     0.28                             SmallGraphicsObject::update()
  0.25     83.53     0.26                             void GraphicsSystem::completeDraw<>(Tempest::Render&, Tempest::AbstractCamera const&, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*), void (Material::*)(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const)
  0.25     83.78     0.26                             Tempest::GraphicObject<Material>::updateMat() const
  0.24     84.03     0.25                             Terrain::updatePolish()
  0.24     84.28     0.25                             Tempest::GraphicObject<Material>::ModelPtr<MVertex>::draw(Tempest::Render&) const
  0.24     84.53     0.25                             array2d<int>::LineRef::operator[](int) const
  0.23     84.78     0.24                             void Tempest::UniformTable::add<Tempest::Matrix4x4>(Tempest::Matrix4x4 const&, char const*, Tempest::UniformTable::Taget)
  0.23     85.02     0.24                             Terrain::fogGeometry(int, int) const
  0.23     85.25     0.24                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::operator[](unsigned int)
  0.23     85.50     0.24                             void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)>(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >, bool (*)(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*))
  0.22     85.72     0.23                             Tempest::Pixmap::at(int, int) const
  0.22     85.95     0.23                             std::vector<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed, std::allocator<Tempest::LocalBufferHolder<Tempest::VertexBufferHolder>::NonFreed> >::operator[](unsigned int)
  0.21     86.17     0.22                             std::vector<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*> >::size() const
  0.20     86.39     0.21                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::operator++()
  0.20     86.59     0.21                             Material::gbuffer(Tempest::RenderState&, Tempest::Matrix4x4 const&, Tempest::AbstractCamera const&, Tempest::UniformTable&) const
  0.19     86.80     0.20                             GraphicsSystem::MaterialSort::sm(Tempest::AbstractGraphicObject<Material> const*, Tempest::AbstractGraphicObject<Material> const*)
  0.19     87.00     0.20                             World::coordCast(int)
  0.18     87.19     0.19                             array2d<Terrain::Tile>::operator[](int)
  0.18     87.38     0.19                             _ZN9__gnu_cxx13new_allocatorIPKN7Tempest21AbstractGraphicObjectI8MaterialEEE9constructIS6_IRKS6_EEEvPT_DpOT0_
  0.18     87.56     0.19                             Tempest::Device::shadingLang() const
  0.17     87.75     0.18                             Terrain::at(int, int) const
  0.17     87.92     0.18                             std::__tuple_compare<0u, 2u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.16     88.08     0.16                             void Tempest::Device::setUniform<float>(Tempest::FragmentShader&, float const*, int, char const*)
  0.16     88.25     0.16                             array2d<TerrainChunk>::operator[](int)
  0.16     88.41     0.16                             bool __gnu_cxx::operator!=<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&)
  0.16     88.56     0.16                             operator new(unsigned int, void*)
  0.15     88.72     0.15                             std::__detail::_Mod_range_hashing::operator()(unsigned int, unsigned int) const
  0.15     88.86     0.15                             std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> >::push_back(Tempest::AbstractGraphicObject<Material> const* const&)
  0.15     89.02     0.15                             std::remove_reference<Tempest::AbstractGraphicObject<Material> const*&>::type&& std::move<Tempest::AbstractGraphicObject<Material> const*&>(Tempest::AbstractGraphicObject<Material> const*&)
  0.14     89.16     0.14                             Tempest::RawModel<MVertex>::computeBoundRect(std::vector<MVertex, std::allocator<MVertex> > const&)
  0.14     89.30     0.14                             array2d<Terrain::TileInfo>::operator[](int)
  0.14     89.44     0.14                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::operator--()
  0.14     89.58     0.14                             GameObject::getClass() const
  0.14     89.72     0.14                             std::vector<int, std::allocator<int> >::operator[](unsigned int) const
  0.13     89.85     0.14                             GraphicsSystem::mkFrustum(Tempest::Matrix4x4 const&, GraphicsSystem::Frustum&)
  0.13     89.98     0.14                             Terrain::mkVertex(int, int, int)
  0.13     90.11     0.13                             Scenario::unProject(int, int, float)
  0.13     90.25     0.13                             std::_Head_base<4u, float&, false>::_M_head(std::_Head_base<4u, float&, false> const&)
  0.13     90.38     0.13                             std::__detail::_Equal_helper<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, unsigned int, true>::_S_equals(std::equal_to<WaterVertex> const&, std::_Select1st<std::pair<WaterVertex const, unsigned short> > const&, WaterVertex const&, unsigned int, std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>*)
  0.12     90.50     0.12                             Terrain::serialize(GameSerializer&)
  0.12     90.61     0.12                             Terrain::waterGeometry(int, int) const
  0.12     90.73     0.12                             std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_find_before_node(unsigned int, WaterVertex const&, unsigned int) const
  0.12     90.86     0.12                             std::__shared_ptr<TerrainChunk::PolishView, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.12     90.97     0.12                             std::vector<Tempest::Point, std::allocator<Tempest::Point> >::size() const
  0.12     91.09     0.12                             int const& std::max<int>(int const&, int const&)
  0.11     91.20     0.11                             _Unwind_SjLj_Register
  0.11     91.31     0.11                             std::vector<std::shared_ptr<TerrainChunk::PolishView>, std::allocator<std::shared_ptr<TerrainChunk::PolishView> > >::size() const
  0.11     91.42     0.11                             std::_Tuple_impl<5u>::_Tuple_impl()
  0.11     91.53     0.11                             std::__add_c_ref<float&>::type std::__get_helper<4u, float&>(std::_Tuple_impl<4u, float&> const&)
  0.10     91.64     0.10                             array2d<Terrain::TileInfo>::LineRef::operator[](int)
  0.10     91.73     0.10                             _ZN9__gnu_cxx13new_allocatorI7MVertexE9constructIS1_IRKS1_EEEvPT_DpOT0_
  0.10     91.83     0.10                             Tempest::Detail::Ptr<Tempest::AbstractAPI::IndexBuffer*, Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip>::const_value() const
  0.10     91.94     0.10                             Tempest::Detail::Ptr<Tempest::AbstractAPI::VertexBuffer*, Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip>::const_value() const
  0.10     92.03     0.10                             std::vector<SmallGraphicsObject*, std::allocator<SmallGraphicsObject*> >::size() const
  0.10     92.14     0.10                             std::_Tuple_impl<2u, float&, float&, float&>::_M_head(std::_Tuple_impl<2u, float&, float&, float&> const&)
  0.10     92.23     0.10                             std::vector<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*, std::allocator<Tempest::AbstractHolder<Tempest::VertexBufferBase, Tempest::AbstractAPI::VertexBuffer>::ImplManip::Ref*> >::operator[](unsigned int)
  0.10     92.33     0.10                             std::__add_c_ref<std::tuple_element<2u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::type>::type std::get<2u, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.10     92.44     0.10                             float const& std::min<float>(float const&, float const&)
  0.09     92.53     0.09                             FileSerialize::fread(void*, unsigned int, unsigned int, FileSerialize::File*)
  0.09     92.61     0.09                             Tempest::Model<MVertex>::indexes() const
  0.09     92.70     0.09                             std::_Head_base<2u, float&, false>::_M_head(std::_Head_base<2u, float&, false> const&)
  0.09     92.80     0.09                             std::vector<MVertex, std::allocator<MVertex> >::push_back(MVertex const&)
  0.08     92.88     0.08                             _Unwind_SjLj_Unregister
  0.08     92.95     0.08                             Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::delRef(Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip::Ref*)
  0.08     93.03     0.08                             Terrain::computePlanes()
  0.08     93.11     0.08                             array2d<Terrain::Tile>::LineRef::operator[](int)
  0.08     93.19     0.08                             array2d<int>::LineRef::LineRef()
  0.08     93.28     0.08                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::__normal_iterator(Tempest::AbstractGraphicObject<Material> const** const&)
  0.08     93.36     0.08                             Tempest::Detail::Ptr<Tempest::AbstractAPI::IndexBuffer*, Tempest::AbstractHolder<Tempest::IndexBufferBase, Tempest::AbstractAPI::IndexBuffer>::ImplManip>::isNull() const
  0.08     93.44     0.08                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::base() const
  0.08     93.52     0.08                             std::__detail::_Hashtable_base<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_equals(WaterVertex const&, unsigned int, std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>*) const
  0.08     93.59     0.08                             std::_Head_base<3u, float&, false>::_M_head(std::_Head_base<3u, float&, false> const&)
  0.08     93.67     0.08                             std::_Tuple_impl<1u, unsigned int&, float&, float&, float&>::_M_head(std::_Tuple_impl<1u, unsigned int&, float&, float&, float&> const&)
  0.08     93.75     0.08                             _ZNSt16allocator_traitsISaIPKN7Tempest21AbstractGraphicObjectI8MaterialEEEE9constructIS5_IRKS5_EEEvRS6_PT_DpOT0_
  0.08     93.83     0.08                             float* std::__copy_move_a2<false, float*, float*>(float*, float*, float*)
  0.08     93.92     0.08                             std::__add_c_ref<std::tuple_element<1u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::type>::type std::get<1u, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.08     94.00     0.08                             std::__add_c_ref<std::tuple_element<3u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::type>::type std::get<3u, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.08     94.08     0.08                             float const& std::max<float>(float const&, float const&)
  0.08     94.16     0.08                             int const& std::min<int>(int const&, int const&)
  0.07     94.23     0.07                             Terrain::height() const
  0.07     94.30     0.07                             FileSerialize::read(unsigned int&)
  0.07     94.37     0.07                             OcTree<Tempest::AbstractGraphicObject<Material> const*>::remove(Tempest::AbstractGraphicObject<Material> const* const&, float, float, float)
  0.07     94.44     0.07                             GUIPass::exec(MainGui&, Tempest::Texture2d*, Tempest::Texture2d*, Tempest::Device&)
  0.07     94.51     0.07                             Tempest::Pixmap::set(int, int, Tempest::Pixmap::Pixel const&)
  0.07     94.58     0.07                             array2d<int>::operator[](int)
  0.07     94.65     0.07                             Tempest::GraphicObject<Material>::transform() const
  0.07     94.72     0.07                             Tempest::Model<WaterVertex>::bounds() const
  0.07     94.79     0.07                             Tempest::Model<MVertex>::declaration() const
  0.07     94.86     0.07                             array2d<int>::height() const
  0.07     94.93     0.07                             std::_Head_base<1u, unsigned int&, false>::_M_head(std::_Head_base<1u, unsigned int&, false> const&)
  0.07     95.00     0.07                             std::__tuple_compare<0u, 4u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.07     95.07     0.07                             std::vector<Terrain::TileInfo, std::allocator<Terrain::TileInfo> >::operator[](unsigned int)
  0.07     95.14     0.07                             std::__add_c_ref<float&>::type std::__get_helper<3u, float&, float&>(std::_Tuple_impl<3u, float&, float&> const&)
  0.07     95.21     0.07                             std::__add_c_ref<std::tuple_element<4u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::type>::type std::get<4u, unsigned int&, unsigned int&, float&, float&, float&>(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.06     95.28     0.07                             GraphicsSystem::dipOptimizeRef()
  0.06     95.33     0.06                             GraphicsSystem::mkFrustum(Tempest::AbstractCamera const&, GraphicsSystem::Frustum&)
  0.06     95.39     0.06                             Scene::onObjectOp(Tempest::AbstractGraphicObject<Material> const*, Scene::Act, Tempest::Matrix4x4 const&)
  0.06     95.45     0.06                             Tempest::Matrix4x4::~Matrix4x4()
  0.06     95.52     0.06                             array2d<TerrainChunk>::LineRef::operator[](int)
  0.06     95.58     0.06                             array2d<Terrain::TileInfo>::LineRef::LineRef()
  0.06     95.64     0.06                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::difference_type __gnu_cxx::operator-<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >(__gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&, __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > > const&)
  0.06     95.69     0.06                             Terrain::width() const
  0.06     95.75     0.06                             Terrain::depthAt(int, int) const
  0.06     95.81     0.06                             std::_Iter_base<float*, false>::_S_base(float*)
  0.06     95.88     0.06                             std::__tuple_compare<0u, 3u, 5u, std::tuple<unsigned int&, unsigned int&, float&, float&, float&>, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> >::__less(std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&, std::tuple<unsigned int&, unsigned int&, float&, float&, float&> const&)
  0.06     95.94     0.06                             _ZNSt16allocator_traitsISaIPKN7Tempest21AbstractGraphicObjectI8MaterialEEEE12_S_constructIS5_IRKS5_EEENSt9enable_ifIXsrNS7_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS6_PSD_DpOSE_
  0.06     96.00     0.06                             std::vector<Terrain::Tile, std::allocator<Terrain::Tile> >::operator[](unsigned int)
  0.06     96.06     0.06                             void std::swap<Tempest::AbstractGraphicObject<Material> const*>(Tempest::AbstractGraphicObject<Material> const*&, Tempest::AbstractGraphicObject<Material> const*&)
  0.05     96.11     0.06                             Terrain::atF(float, float) const
  0.05     96.16     0.05                             MiniMapView::render()
  0.05     96.21     0.05                             array2d<TerrainChunk>::LineRef::LineRef()
  0.05     96.26     0.05                             array2d<int>::width() const
  0.05     96.31     0.05                             __gnu_cxx::__normal_iterator<Tempest::AbstractGraphicObject<Material> const**, std::vector<Tempest::AbstractGraphicObject<Material> const*, std::allocator<Tempest::AbstractGraphicObject<Material> const*> > >::operator+(int const&) const
  0.05     96.36     0.05                             __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.05     96.41     0.05                             std::_Hashtable<WaterVertex, std::pair<WaterVertex const, unsigned short>, std::allocator<std::pair<WaterVertex const, unsigned short> >, std::_Select1st<std::pair<WaterVertex const, unsigned short> >, std::equal_to<WaterVertex>, MVertex::hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, true, false, true>::_M_bucket_index(std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>*) const
  0.05     96.46     0.05                             std::__detail::_Hash_node<std::pair<WaterVertex const, unsigned short>, true>::_M_next() const
